DateTime,temperature,wind_speed,air_pressure,humidity,wind_direction,rainfall,PM2.5,PM10,PM0.1,PM0.1-0.5,PM0.5-1.0,PM1.0-2.5,PM2.5-10,PM>10,PM1,PM2.5_NanoSampler,Day,Year,Month
2016-01-01,28.2875,4.625,1013.08,72.375,36.25,0.4,20.0,45.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,1,2016,January
2016-01-02,28.1125,4.875,1013.395,74.625,87.5,0.0,20.0,38.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,2,2016,January
2016-01-03,27.325,2.5,1013.04625,82.25,61.25,0.0,20.0,55.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,3,2016,January
2016-01-04,27.6125,3.25,1012.74375,81.5,63.75,0.0,20.0,50.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,4,2016,January
2016-01-05,27.975,1.625,1011.77,80.875,22.5,0.0,20.0,41.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,5,2016,January
2016-01-06,28.45,2.875,1012.08375,79.5,118.75,0.0,20.0,34.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,6,2016,January
2016-01-07,28.275,3.875,1012.4675,77.875,75.0,0.0,20.0,35.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,7,2016,January
2016-01-08,27.625,1.5,1011.70125,81.75,18.75,0.0,20.0,38.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,8,2016,January
2016-01-09,28.0375,2.5,1011.5125,78.25,73.75,0.0,20.0,40.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,9,2016,January
2016-01-10,28.375,5.375,1011.4225,76.5,75.0,0.0,20.0,38.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,10,2016,January
2016-01-11,27.7625,2.75,1011.355,81.625,73.75,0.0,20.0,40.0,5.962304343798957,2.141798647772327,8.104102991571443,10.07224228952442,13.603315735851949,3.47318699638767,16.208205983142726,26.280448272667144,11,2016,January
2016-01-12,27.45,2.25,1010.2887499999999,80.25,30.0,0.0,18.833333333333336,43.0,6.040374439330455,2.079689075148776,8.062233303977457,10.071543313654262,13.602371716716965,3.448161594296142,16.182296818456688,26.25384013211095,12,2016,January
2016-01-13,28.225,4.375,1009.77125,77.75,37.5,28.2,17.66666666666667,35.0,6.118444534861955,2.0175795025252254,8.020363616383474,10.070844337784106,13.601427697581984,3.423136192204614,16.15638765377065,26.22723199155476,13,2016,January
2016-01-14,27.3125,1.625,1009.38375,85.875,17.5,0.6,16.5,24.0,6.1965146303934535,1.9554699299016745,7.978493928789489,10.070145361913948,13.600483678447002,3.3981107901130865,16.130478489084616,26.200623850998564,14,2016,January
2016-01-15,28.4,2.5,1008.045,79.5,33.75,87.6,15.333333333333336,25.0,6.274584725924953,1.893360357278124,7.936624241195505,10.069446386043793,13.599539659312018,3.3730853880215586,16.104569324398582,26.174015710442372,15,2016,January
2016-01-16,26.55,1.375,1008.78,89.75,31.25,71.0,14.166666666666668,26.0,6.352654821456452,1.8312507846545731,7.894754553601521,10.068747410173636,13.598595640177038,3.348059985930031,16.078660159712545,26.14740756988618,16,2016,January
2016-01-17,27.45,1.875,1008.8125,86.125,98.75,4.2,13.0,29.0,6.430724916987951,1.7691412120310224,7.852884866007535,10.068048434303478,13.597651621042054,3.3230345838385027,16.052750995026507,26.120799429329985,17,2016,January
2016-01-18,27.825,1.375,1008.235,85.0,97.5,0.0,12.0,30.0,6.5087950125194505,1.7070316394074716,7.811015178413552,10.067349458433322,13.596707601907074,3.298009181746975,16.026841830340473,26.094191288773793,18,2016,January
2016-01-19,28.7375,2.875,1009.0275,78.625,41.25,0.0,9.0,26.0,6.586865108050949,1.6449220667839206,7.769145490819566,10.066650482563166,13.59576358277209,3.2729837796554477,16.000932665654435,26.0675831482176,19,2016,January
2016-01-20,28.6,2.0,1010.9625,76.75,26.25,0.0,8.0,27.0,6.6649352035824485,1.58281249416037,7.727275803225583,10.065951506693008,13.59481956363711,3.24795837756392,15.9750235009684,26.04097500766141,20,2016,January
2016-01-21,28.575,2.75,1010.6175000000001,76.125,75.0,1.4,7.0,30.0,6.743005299113948,1.5207029215368193,7.685406115631598,10.065252530822852,13.593875544502126,3.2229329754723923,15.949114336282364,26.014366867105217,21,2016,January
2016-01-22,27.525,2.25,1011.33375,85.25,23.75,0.0,11.0,26.0,6.8210753946454465,1.4585933489132683,7.6435364280376135,10.064553554952694,13.592931525367145,3.197907573380864,15.923205171596328,25.987758726549025,22,2016,January
2016-01-23,27.775,3.0,1012.065,79.625,26.25,0.0,14.0,35.0,6.899145490176945,1.3964837762897175,7.601666740443629,10.063854579082536,13.591987506232163,3.172882171289336,15.897296006910292,25.96115058599283,23,2016,January
2016-01-24,28.2625,7.0,1012.3100000000001,77.0,135.0,0.4,18.0,38.0,6.977215585708445,1.3343742036661665,7.559797052849644,10.06315560321238,13.59104348709718,3.1478567691978085,15.871386842224254,25.934542445436637,24,2016,January
2016-01-25,27.912499999999998,6.125,1011.98,78.5,96.25,27.8,20.333333333333336,33.0,7.055285681239944,1.272264631042616,7.517927365255661,10.062456627342224,13.5900994679622,3.122831367106281,15.84547767753822,25.907934304880445,25,2016,January
2016-01-26,26.3125,4.5,1011.7825,85.25,51.25,17.6,22.666666666666668,33.0,7.055285681239944,1.272264631042616,7.517927365255661,10.062456627342224,13.5900994679622,3.122831367106281,15.84547767753822,25.907934304880445,26,2016,January
2016-01-27,27.0375,4.75,1010.95,88.0,95.0,22.2,25.0,24.0,7.055285681239944,1.272264631042616,7.517927365255661,10.062456627342224,13.5900994679622,3.122831367106281,15.84547767753822,25.907934304880445,27,2016,January
2016-01-28,27.7625,6.375,1010.55875,87.0,96.25,33.5,23.5,34.0,7.055285681239944,1.272264631042616,7.517927365255661,10.062456627342224,13.5900994679622,3.122831367106281,15.84547767753822,25.907934304880445,28,2016,January
2016-01-29,27.8375,3.0,1010.79125,85.75,36.25,12.8,22.0,30.0,6.90677888068188,1.3005642203175687,7.489391290172604,9.89452123607747,13.429794491995148,3.1301288161894814,15.69673439117205,25.59125562724952,29,2016,January
2016-01-30,27.462500000000002,2.75,1010.2475000000001,83.875,77.5,0.0,20.5,34.0,6.758272080123815,1.3288638095925212,7.460855215089545,9.726585844812712,13.269489516028095,3.137426265272681,15.547991104805881,25.274576949618595,30,2016,January
2016-01-31,27.775,2.25,1010.11875,81.125,51.25,0.0,19.0,40.0,6.60976527956575,1.3571633988674738,7.432319140006486,9.558650453547957,13.109184540061042,3.144723714355881,15.39924781843971,24.957898271987666,31,2016,January
2016-02-01,28.05,3.125,1010.25375,77.125,31.25,0.0,19.0,37.0,6.461258479007686,1.3854629881424263,7.403783064923428,9.3907150622832,12.948879564093989,3.152021163439081,15.250504532073538,24.641219594356738,1,2016,February
2016-02-02,27.6875,2.0,1010.02,78.375,12.5,0.0,22.0,39.0,6.3127516784496205,1.4137625774173788,7.37524698984037,9.222779671018444,12.788574588126933,3.1593186125222807,15.101761245707367,24.324540916725812,2,2016,February
2016-02-03,28.225,5.375,1009.91625,76.0,131.25,0.0,14.0,35.0,6.164244877891557,1.4420621666923314,7.346710914757312,9.054844279753688,12.628269612159881,3.166616061605481,14.9530179593412,24.007862239094887,3,2016,February
2016-02-04,27.975,5.25,1009.65375,78.0,48.75,0.0,13.0,37.0,6.015738077333491,1.470361755967284,7.3181748396742545,8.88690888848893,12.467964636192828,3.1739135106886804,14.80427467297503,23.69118356146396,4,2016,February
2016-02-05,27.9375,3.625,1008.71375,82.625,40.0,0.0,16.0,31.0,5.867231276775427,1.4986613452422364,7.289638764591196,8.718973497224175,12.307659660225776,3.1812109597718807,14.655531386608857,23.374504883833037,5,2016,February
2016-02-06,27.7,4.75,1008.78625,82.875,82.5,0.0,17.0,40.0,5.718724476217362,1.5269609345171888,7.261102689508138,8.551038105959417,12.147354684258723,3.18850840885508,14.506788100242687,23.057826206202108,6,2016,February
2016-02-07,27.475,7.75,1010.45375,77.25,112.5,0.0,32.0,64.0,5.570217675659298,1.5552605237921413,7.23256661442508,8.383102714694662,11.98704970829167,3.195805857938281,14.358044813876518,22.74114752857118,7,2016,February
2016-02-08,27.0625,4.0,1011.15625,69.125,66.25,0.0,44.0,78.0,5.421710875101233,1.5835601130670938,7.204030539342021,8.215167323429906,11.826744732324617,3.2031033070214807,14.209301527510348,22.424468850940258,8,2016,February
2016-02-09,26.62857142857143,1.8571428571428572,1011.3157142857143,73.14285714285714,42.857142857142854,0.0,34.0,56.0,5.273204074543169,1.6118597023420467,7.175494464258964,8.04723193216515,11.666439756357564,3.2104007561046806,14.060558241144177,22.10779017330933,9,2016,February
2016-02-10,27.1875,4.5,1010.545,78.25,37.5,0.0,35.0,50.0,5.124697273985103,1.640159291616999,7.1469583891759045,7.879296540900393,11.50613478039051,3.2176982051878804,13.911814954778007,21.7911114956784,10,2016,February
2016-02-11,27.75,3.875,1009.5975,80.875,73.75,0.0,28.0,37.0,4.976190473427039,1.6684588808919516,7.118422314092847,7.711361149635636,11.345829804423456,3.2249956542710803,13.763071668411836,21.474432818047475,11,2016,February
2016-02-12,28.25,4.25,1009.53625,79.625,48.75,0.0,12.0,33.0,4.827683672868975,1.696758470166904,7.08988623900979,7.543425758370882,11.185524828456405,3.2322931033542806,13.614328382045667,21.15775414041655,12,2016,February
2016-02-13,28.5875,3.5,1009.66125,79.75,31.25,0.0,19.0,29.0,4.67917687231091,1.7250580594418565,7.061350163926731,7.375490367106124,11.025219852489352,3.2395905524374804,13.465585095679495,20.84107546278562,13,2016,February
2016-02-14,28.3125,5.25,1009.5125,80.875,52.5,0.0,19.285714285714285,32.0,4.530670071752845,1.7533576487168092,7.032814088843672,7.207554975841368,10.864914876522299,3.2468880015206802,13.316841809313326,20.524396785154696,14,2016,February
2016-02-15,28.650000000000002,3.125,1011.0,80.25,56.25,0.0,19.57142857142857,31.5,4.38216327119478,1.7816572379917617,7.004278013760614,7.039619584576611,10.704609900555244,3.25418545060388,13.168098522947155,20.207718107523768,15,2016,February
2016-02-16,28.4125,3.125,1012.3025,75.25,37.5,0.0,19.857142857142854,31.0,4.233656470636715,1.8099568272667141,6.975741938677556,6.871684193311855,10.544304924588193,3.26148289968708,13.019355236580985,19.89103942989284,16,2016,February
2016-02-17,28.0625,6.25,1012.67125,72.5,57.5,0.0,20.142857142857142,57.0,4.085149670078651,1.8382564165416664,6.9472058635944975,6.703748802047098,10.383999948621138,3.26878034877028,12.870611950214814,19.574360752261914,17,2016,February
2016-02-18,27.5125,4.625,1011.74625,78.125,55.0,0.0,20.428571428571427,49.5,3.936642869520586,1.866556005816619,6.91866978851144,6.5358134107823425,10.223694972654087,3.27607779785348,12.721868663848644,19.25768207463099,18,2016,February
2016-02-19,27.6625,3.375,1012.0699999999999,82.375,51.25,0.0,20.714285714285715,42.0,3.788136068962521,1.8948555950915718,6.890133713428382,6.367878019517587,10.063389996687032,3.2833752469366795,12.573125377482473,18.94100339700006,19,2016,February
2016-02-20,27.075,5.0,1012.935,81.625,57.5,0.0,21.0,54.0,3.639629268404457,1.9231551843665244,6.861597638345324,6.19994262825283,9.903085020719981,3.2906726960198798,12.424382091116303,18.624324719369135,20,2016,February
2016-02-21,27.35,7.25,1012.67875,73.625,121.25,0.0,26.0,50.0,3.491122467846392,1.951454773641477,6.833061563262266,6.032007236988074,9.742780044752926,3.2979701451030796,12.275638804750134,18.30764604173821,21,2016,February
2016-02-22,27.4125,4.0,1013.62125,72.25,58.75,0.0,24.0,45.0,3.3426156672883276,1.9797543629164296,6.804525488179208,5.864071845723318,9.582475068785875,3.30526759418628,12.126895518383964,17.990967364107284,22,2016,February
2016-02-23,27.7125,2.75,1012.24125,77.0,22.5,0.0,22.0,52.0,3.1941088667302626,2.0080539521913816,6.775989413096149,5.696136454458561,9.42217009281882,3.3125650432694798,11.978152232017791,17.674288686476356,23,2016,February
2016-02-24,27.7375,5.25,1012.3,75.5,25.0,0.0,24.0,51.0,3.045602066172198,2.036353541466334,6.747453338013091,5.528201063193805,9.261865116851768,3.3198624923526796,11.829408945651622,17.357610008845427,24,2016,February
2016-02-25,27.912499999999998,9.5,1013.02625,73.875,76.25,0.0,24.166666666666668,51.0,2.8970952656141336,2.064653130741287,6.7189172629300336,5.3602656719290485,9.101560140884715,3.3271599414358795,11.680665659285452,17.0409313312145,25,2016,February
2016-02-26,28.1375,5.25,1013.0225,72.375,98.75,0.0,24.333333333333336,48.0,2.7485884650560686,2.0929527200162394,6.690381187846976,5.192330280664292,8.941255164917662,3.3344573905190793,11.531922372919283,16.724252653583576,26,2016,February
2016-02-27,27.7875,3.375,1012.76,79.625,56.25,0.0,24.5,40.0,2.6000816644980036,2.121252309291192,6.661845112763917,5.024394889399536,8.780950188950609,3.3417548396022796,11.383179086553112,16.407573975952648,27,2016,February
2016-02-28,28.0125,4.25,1013.2362499999999,77.75,92.5,0.0,24.666666666666668,42.0,2.451574863939939,2.1495518985661444,6.633309037680858,4.85645949813478,8.620645212983556,3.3490522886854794,11.23443580018694,16.09089529832172,28,2016,February
2016-02-29,28.2875,4.875,1013.29,77.0,77.5,0.0,24.833333333333336,47.5,2.3030680633818745,2.177851487841097,6.604772962597801,4.688524106870023,8.460340237016503,3.356349737768679,11.08569251382077,15.774216620690796,29,2016,February
2016-03-01,27.8875,3.375,1012.245,76.25,72.5,0.0,25.0,53.0,2.15456126282381,2.2061510771160497,6.576236887514742,4.5205887156052675,8.30003526104945,3.363647186851879,10.936949227454601,15.457537943059869,1,2016,March
2016-03-02,27.7625,3.75,1012.4275,76.375,41.25,0.0,26.0,50.0,2.0060544622657455,2.234450666391002,6.547700812431685,4.352653324340511,8.139730285082397,3.3709446359350794,10.78820594108843,15.140859265428944,2,2016,March
2016-03-03,28.1,6.25,1012.28,76.25,112.5,0.0,21.0,51.0,1.8575476617076805,2.2627502556659547,6.519164737348626,4.1847179330757545,7.979425309115343,3.378242085018279,10.639462654722259,14.824180587798015,3,2016,March
2016-03-04,28.375,4.875,1010.975,74.625,57.5,0.0,22.166666666666668,47.5,1.7090408611496157,2.291049844940907,6.490628662265568,4.016782541810999,7.819120333148291,3.3855395341014787,10.490719368356089,14.50750191016709,4,2016,March
2016-03-05,28.0875,3.25,1010.3425,80.125,17.5,0.0,23.333333333333336,44.0,1.5605340605915512,2.3193494342158596,6.46209258718251,3.848847150546242,7.658815357181238,3.392836983184679,10.34197608198992,14.190823232536161,5,2016,March
2016-03-06,28.65,6.125,1010.3875,80.0,87.5,0.0,24.5,42.0,1.4120272600334864,2.3476490234908125,6.433556512099452,3.6809117592814857,7.498510381214185,3.4001344322678793,10.19323279562375,13.874144554905236,6,2016,March
2016-03-07,28.8125,5.625,1009.58,76.625,51.25,0.0,25.666666666666668,40.0,1.2635204594754217,2.3759486127657645,6.405020437016394,3.5129763680167296,7.338205405247132,3.4074318813510787,10.04448950925758,13.55746587727431,7,2016,March
2016-03-08,28.6125,2.5,1008.97,75.0,47.5,0.0,26.833333333333336,37.0,1.115013658917357,2.404248202040717,6.376484361933335,3.345040976751973,7.177900429280078,3.4147293304342785,9.895746222891407,13.240787199643382,8,2016,March
2016-03-09,28.2,2.75,1009.0600000000001,76.75,72.5,0.0,28.0,44.0,1.115013658917357,2.404248202040717,6.376484361933335,3.345040976751973,7.177900429280078,3.4147293304342785,9.895746222891407,13.240787199643382,9,2016,March
2016-03-10,28.025,1.375,1010.05,78.625,63.75,0.0,29.0,42.0,1.115013658917357,2.404248202040717,6.376484361933335,3.345040976751973,7.177900429280078,3.4147293304342785,9.895746222891407,13.240787199643382,10,2016,March
2016-03-11,27.95,2.875,1010.0962499999999,77.375,43.75,0.0,30.0,47.0,1.115013658917357,2.404248202040717,6.376484361933335,3.345040976751973,7.177900429280078,3.4147293304342785,9.895746222891407,13.240787199643382,11,2016,March
2016-03-12,29.1125,4.625,1010.0575,72.125,45.0,0.6,38.0,29.0,1.115013658917357,2.404248202040717,6.376484361933335,3.345040976751973,7.177900429280078,3.4147293304342785,9.895746222891407,13.240787199643382,12,2016,March
2016-03-13,29.075,3.375,1010.61875,81.0,63.75,0.0,30.5,32.0,1.115013658917357,2.404248202040717,6.376484361933335,3.345040976751973,7.177900429280078,3.4147293304342785,9.895746222891407,13.240787199643382,13,2016,March
2016-03-14,28.8375,1.25,1010.2462499999999,79.5,27.5,0.0,23.0,36.0,1.133835591253387,2.4345826750018587,6.580430226336032,3.4375518502909737,7.322270636710068,3.4293426881046063,10.148848492591277,13.586400342882252,14,2016,March
2016-03-15,28.4,1.5,1009.99375,76.375,38.75,0.0,17.0,38.0,1.1526575235894172,2.4649171479630003,6.784376090738728,3.5300627238299733,7.466640844140057,3.443956045774934,10.401950762291145,13.932013486121118,15,2016,March
2016-03-16,28.8625,2.0,1009.8175,73.25,25.0,0.0,18.0,39.0,1.171479455925447,2.495251620924142,6.988321955141424,3.622573597368974,7.6110110515700455,3.4585694034452614,10.655053031991011,14.277626629359986,16,2016,March
2016-03-17,28.6375,2.25,1009.5287500000001,75.125,26.25,0.0,24.0,43.0,1.1903013882614775,2.5255860938852837,7.192267819544121,3.715084470907974,7.7553812590000355,3.4731827611155897,10.908155301690881,14.623239772598854,17,2016,March
2016-03-18,28.75,1.5,1009.1025,74.5,58.75,0.0,23.0,48.0,1.2091233205975072,2.5559205668464253,7.396213683946817,3.807595344446974,7.8997514664300255,3.4877961187859166,11.161257571390749,14.968852915837722,18,2016,March
2016-03-19,28.5625,1.375,1008.7362499999999,77.875,51.25,0.0,26.0,49.0,1.2279452529335373,2.5862550398075665,7.600159548349513,3.9001062179859742,8.044121673860014,3.5024094764562443,11.414359841090615,15.31446605907659,19,2016,March
2016-03-20,28.175,1.125,1009.2575,78.125,38.75,0.0,21.0,42.0,1.2467671852695674,2.616589512768708,7.804105412752209,3.9926170915249743,8.188491881290004,3.517022834126572,11.667462110790485,15.660079202315458,20,2016,March
2016-03-21,28.4625,2.625,1008.5,75.5,57.5,0.0,21.0,46.0,1.2655891176055976,2.64692398572985,8.008051277154905,4.085127965063975,8.332862088719994,3.5316361917969,11.920564380490354,16.00569234555433,21,2016,March
2016-03-22,28.55,2.25,1007.95625,77.375,56.25,0.0,23.0,45.0,1.2844110499416277,2.6772584586909915,8.211997141557601,4.177638838602975,8.477232296149982,3.5462495494672273,12.17366665019022,16.351305488793194,22,2016,March
2016-03-23,30.15,0.75,1008.54875,75.125,6.25,0.0,29.0,57.0,1.3032329822776576,2.707592931652133,8.415943005960298,4.270149712141976,8.621602503579972,3.5608629071375555,12.426768919890089,16.696918632032066,23,2016,March
2016-03-24,29.0375,2.0,1009.97875,78.25,70.0,0.0,33.0,60.0,1.322054914613688,2.737927404613275,8.619888870362995,4.362660585680975,8.765972711009962,3.575476264807883,12.679871189589958,17.042531775270934,24,2016,March
2016-03-25,28.9875,1.25,1011.83125,73.125,76.25,0.0,24.0,45.0,1.3408768469497176,2.768261877574416,8.82383473476569,4.455171459219975,8.91034291843995,3.59008962247821,12.932973459289824,17.3881449185098,25,2016,March
2016-03-26,29.275,5.875,1012.00875,74.75,58.75,0.0,15.0,40.0,1.3408768469497176,2.768261877574416,8.82383473476569,4.455171459219975,8.91034291843995,3.59008962247821,12.932973459289824,17.3881449185098,26,2016,March
2016-03-27,29.45,6.375,1012.06125,70.5,88.75,0.0,13.0,41.0,1.3408768469497176,2.768261877574416,8.82383473476569,4.455171459219975,8.91034291843995,3.59008962247821,12.932973459289824,17.3881449185098,27,2016,March
2016-03-28,29.2375,4.5,1011.91625,75.0,75.0,0.0,18.0,49.0,1.3408768469497176,2.768261877574416,8.82383473476569,4.455171459219975,8.91034291843995,3.59008962247821,12.932973459289824,17.3881449185098,28,2016,March
2016-03-29,28.975,3.75,1012.20375,73.875,56.25,0.0,27.0,64.0,1.3361820920563863,2.741505030133354,8.629857209196434,4.303568067226637,8.718003969856989,3.4474416801427012,12.707544331386174,17.01111239861281,29,2016,March
2016-03-30,29.4625,4.25,1011.515,69.875,53.75,0.0,31.0,67.0,1.3314873371630545,2.7147481826922917,8.435879683627174,4.151964675233297,8.525665021274024,3.3047937378071914,12.482115203482522,16.634079878715816,30,2016,March
2016-03-31,28.8125,2.625,1010.73875,72.0,46.25,0.0,31.0,64.0,1.3267925822697229,2.6879913352512297,8.241902158057917,4.000361283239958,8.333326072691062,3.162145795471682,12.25668607557887,16.257047358818827,31,2016,March
2016-04-01,28.625,1.375,1009.40375,73.875,17.5,0.0,21.0,47.0,1.3220978273763915,2.6612344878101672,8.047924632488659,3.84875789124662,8.140987124108099,3.0194978531361727,12.031256947675217,15.880014838921838,1,2016,April
2016-04-02,29.2875,4.0,1009.5425,77.5,68.75,0.0,15.0,38.0,1.3174030724830597,2.634477640369105,7.8539471069194,3.6971544992532808,7.948648175525136,2.8768499108006633,11.805827819771565,15.502982319024845,2,2016,April
2016-04-03,29.6375,5.125,1009.85375,76.875,56.25,2.6,12.0,35.0,1.312708317589728,2.607720792928043,7.659969581350142,3.545551107259942,7.7563092269421725,2.734201968465154,11.580398691867913,15.125949799127856,3,2016,April
2016-04-04,29.05,2.75,1009.14375,82.375,31.25,0.0,17.0,39.0,1.3080135626963967,2.580963945486981,7.465992055780884,3.393947715266603,7.563970278359209,2.5915540261296446,11.35496956396426,14.748917279230866,4,2016,April
2016-04-05,28.849999999999998,2.375,1009.15125,79.75,38.75,0.0,24.0,44.0,1.3033188078030649,2.554207098045918,7.272014530211625,3.2423443232732643,7.371631329776246,2.4489060837941348,11.129540436060608,14.371884759333874,5,2016,April
