DateTime,temperature,wind_speed,air_pressure,humidity,wind_direction,rainfall
2016-01-12 04:00:00,25.0,0.0,1010.21,96.0,0.0,
2016-01-12 07:00:00,24.4,0.0,1010.87,97.0,0.0,
2016-01-12 10:00:00,28.3,5.0,1012.19,75.0,60.0,
2016-01-12 13:00:00,31.0,4.0,1009.91,58.0,90.0,
2016-01-12 16:00:00,30.9,4.0,1007.38,60.0,70.0,
2016-01-12 19:00:00,27.8,5.0,1009.04,77.0,20.0,
2016-01-12 22:00:00,26.8,0.0,1010.91,84.0,0.0,
2016-01-13 01:00:00,26.8,0.0,1010.49,84.0,0.0,28.2
2016-01-13 04:00:00,25.6,0.0,1009.51,91.0,0.0,
2016-01-13 07:00:00,26.0,4.0,1010.29,84.0,100.0,
2016-01-13 10:00:00,29.2,3.0,1011.3,70.0,50.0,
2016-01-13 13:00:00,31.3,11.0,1010.08,58.0,40.0,
2016-01-13 16:00:00,30.5,5.0,1007.4,68.0,80.0,
2016-01-13 19:00:00,28.5,3.0,1008.37,78.0,10.0,
2016-01-13 22:00:00,27.9,9.0,1010.73,89.0,20.0,
2016-01-14 01:00:00,26.5,4.0,1009.91,88.0,10.0,0.6
2016-01-14 04:00:00,24.9,0.0,1009.24,96.0,0.0,
2016-01-14 07:00:00,25.5,0.0,1009.41,94.0,0.0,
2016-01-14 10:00:00,27.4,0.0,1011.39,87.0,0.0,
2016-01-14 13:00:00,29.4,4.0,1009.19,77.0,50.0,
2016-01-14 16:00:00,29.7,5.0,1007.3,76.0,80.0,
2016-01-14 19:00:00,27.9,0.0,1008.45,82.0,0.0,
2016-01-14 22:00:00,27.2,0.0,1010.18,87.0,0.0,
2016-01-15 01:00:00,27.0,0.0,1009.41,88.0,0.0,87.6
2016-01-15 04:00:00,26.4,0.0,1008.41,91.0,0.0,
2016-01-15 07:00:00,26.0,0.0,1007.81,86.0,0.0,
2016-01-15 10:00:00,31.0,0.0,1009.93,68.0,0.0,
2016-01-15 13:00:00,33.2,5.0,1007.26,54.0,150.0,
2016-01-15 16:00:00,30.7,9.0,1004.61,72.0,70.0,
2016-01-15 19:00:00,28.6,6.0,1006.54,82.0,50.0,
2016-01-15 22:00:00,24.3,0.0,1010.39,95.0,0.0,
2016-01-16 01:00:00,24.4,0.0,1009.75,96.0,0.0,71.0
2016-01-16 04:00:00,24.5,0.0,1007.9,95.0,0.0,
2016-01-16 07:00:00,24.7,0.0,1008.45,97.0,0.0,
2016-01-16 10:00:00,26.9,0.0,1011.2,89.0,0.0,
2016-01-16 13:00:00,30.6,4.0,1008.45,72.0,50.0,
2016-01-16 16:00:00,29.8,3.0,1005.57,81.0,80.0,
2016-01-16 19:00:00,27.5,0.0,1007.85,92.0,0.0,
2016-01-16 22:00:00,24.0,4.0,1011.07,96.0,120.0,
2016-01-17 01:00:00,24.5,0.0,1010.38,96.0,0.0,4.2
2016-01-17 04:00:00,24.5,3.0,1007.8,96.0,90.0,
2016-01-17 07:00:00,24.8,0.0,1008.39,97.0,0.0,
2016-01-17 10:00:00,29.7,3.0,1011.1,84.0,210.0,
2016-01-17 13:00:00,32.7,3.0,1009.38,58.0,150.0,
2016-01-17 16:00:00,29.1,3.0,1006.73,84.0,260.0,
2016-01-17 19:00:00,28.5,3.0,1007.43,85.0,80.0,
2016-01-17 22:00:00,25.8,0.0,1009.29,89.0,0.0,
2016-01-18 01:00:00,24.7,0.0,1008.99,94.0,0.0,0.0
2016-01-18 04:00:00,24.0,3.0,1007.6,96.0,120.0,
2016-01-18 07:00:00,24.6,0.0,1008.86,97.0,0.0,
2016-01-18 10:00:00,31.2,4.0,1009.76,73.0,320.0,
2016-01-18 13:00:00,31.2,4.0,1007.98,71.0,340.0,
2016-01-18 16:00:00,30.6,0.0,1005.82,72.0,0.0,
2016-01-18 19:00:00,28.3,0.0,1007.08,88.0,0.0,
2016-01-18 22:00:00,28.0,0.0,1009.79,89.0,0.0,
2016-01-19 01:00:00,26.4,0.0,1009.15,93.0,0.0,0.0
2016-01-19 04:00:00,25.8,0.0,1007.47,95.0,0.0,
2016-01-19 07:00:00,26.8,0.0,1008.32,88.0,0.0,
2016-01-19 10:00:00,30.5,8.0,1010.67,71.0,80.0,
2016-01-19 13:00:00,32.9,5.0,1009.11,53.0,50.0,
2016-01-19 16:00:00,31.5,3.0,1007.03,66.0,150.0,
2016-01-19 19:00:00,28.3,7.0,1008.56,80.0,50.0,
2016-01-19 22:00:00,27.7,0.0,1011.91,83.0,0.0,
2016-01-20 01:00:00,27.1,0.0,1011.63,87.0,0.0,0.0
2016-01-20 04:00:00,26.5,0.0,1010.38,90.0,0.0,
2016-01-20 07:00:00,26.3,0.0,1010.72,85.0,0.0,
2016-01-20 10:00:00,30.4,3.0,1013.06,68.0,20.0,
2016-01-20 13:00:00,31.5,6.0,1011.67,61.0,40.0,
2016-01-20 16:00:00,32.5,4.0,1008.84,58.0,40.0,
2016-01-20 19:00:00,27.2,0.0,1009.65,83.0,0.0,
2016-01-20 22:00:00,27.3,3.0,1011.75,82.0,110.0,
2016-01-21 01:00:00,27.0,0.0,1011.22,86.0,0.0,1.4
2016-01-21 04:00:00,26.4,6.0,1010.58,87.0,170.0,
2016-01-21 07:00:00,26.8,6.0,1010.6,81.0,120.0,
2016-01-21 10:00:00,30.2,4.0,1012.64,68.0,160.0,
