No.,วันที่,ช่วงเวลา,pm2.5
,2024-05-03,01:00:00,24.08194885
,2024-05-04,01:00:00,21.07157045
,2024-05-05,01:00:00,26.94341667
,2024-05-06,01:00:00,23.2099402
,2024-05-07,01:00:00,20.73879167
,2024-05-08,01:00:00,17.72388177
,2024-05-09,01:00:00,16.66132069
,2024-05-10,01:00:00,12.08326683
,2024-05-11,01:00:00,14.06670833
,2024-05-12,01:00:00,12.06092692
,2024-05-13,01:00:00,15.314356
,2024-05-14,01:00:00,16.75557733
,2024-05-15,01:00:00,16.46042211
,2024-05-16,01:00:00,24.73121888
,2024-05-17,01:00:00,13.41123031
,2024-05-18,01:00:00,11.03112367
,2024-05-19,01:00:00,13.46978908
,2024-05-20,01:00:00,11.22422834
,2024-05-21,01:00:00,9.550974179
,2024-05-22,01:00:00,11.39737406
,2024-05-23,01:00:00,11.35299596
,2024-05-24,01:00:00,10.89818289
,2024-05-25,01:00:00,15.18461125
,2024-05-26,01:00:00,17.12442655
,2024-05-27,01:00:00,16.70540997
,2024-05-28,01:00:00,13.80374838
,2024-05-29,01:00:00,16.58228538
,2024-05-30,01:00:00,13.73892082
,2024-05-31,01:00:00,13.35777265
,2024-06-01,01:00:00,10.15304549
,2024-06-02,01:00:00,12.20342308
,2024-06-03,01:00:00,14.25441667
,2024-06-04,01:00:00,16.48725548
,2024-06-05,01:00:00,14.96328092
,2024-06-06,01:00:00,14.76329123
,2024-06-07,01:00:00,13.58301251
,2024-06-08,01:00:00,10.6914796
,2024-06-09,01:00:00,16.3509944
,2024-06-10,01:00:00,14.53110628
,2024-06-11,01:00:00,15.68854504
,2024-06-12,01:00:00,13.38726366
,2024-06-13,01:00:00,13.97450798
,2024-06-14,01:00:00,13.84732015
,2024-06-15,01:00:00,15.8800844
,2024-06-16,01:00:00,14.46388592
,2024-06-17,01:00:00,10.27421419
,2024-06-18,01:00:00,10.06646248
,2024-06-19,01:00:00,11.1930965
,2024-06-20,01:00:00,9.550657618
,2024-06-21,01:00:00,9.001762295
,2024-06-22,01:00:00,9.619250089
,2024-06-23,01:00:00,10.62038619
,2024-06-24,01:00:00,13.72671995
,2024-06-25,01:00:00,16.12083041
,2024-06-26,01:00:00,20.97048661
,2024-06-27,01:00:00,20.95620161
,2024-06-28,01:00:00,12.36508251
,2024-06-29,01:00:00,11.6018736
,2024-06-30,01:00:00,14.03695717
,2024-07-01,01:00:00,11.97072941
,2024-07-02,01:00:00,16.52143064
,2024-07-03,01:00:00,14.40398209
,2024-07-04,01:00:00,13.3785862
,2024-07-05,01:00:00,12.10951562
,2024-07-06,01:00:00,10.84989623
,2024-07-07,01:00:00,11.4042332
,2024-07-08,01:00:00,10.26797541
,2024-07-09,01:00:00,13.29496153
,2024-07-10,01:00:00,11.83554173
,2024-07-11,01:00:00,12.24393323
,2024-07-12,01:00:00,10.8552051
