Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,28T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,57T,58T,67T,68T,69T,70T*,70T**,71T,72T,73T,74T,75T,76T,77T,78T,79T,80T,81T
2019-01-13 00:00:00,,63.0,60.0,62.0,,55.0,65.0,88.0,70.0,74.0,66.0,74.0,87.0,68.0,71.0,,62.0,61.0,55.0,63.0,,,56.0,51.0,76.0,85.0,,52.0,42.0,51.0,63.0,49.0,45.0,25.0,23.0,30.0,23.0,23.0,32.0,47.0,9.0,,,38.0,,,12.0,15.0,21.0,6.0,28.0,34.0,32.0,22.0,,57.0,26.0,12.0,,19.0,42.0,51.0,,60.0,7.0,
2019-01-14 00:00:00,,58.0,56.0,59.0,,57.0,71.0,86.0,64.0,73.0,65.0,79.0,81.0,68.0,86.0,,58.0,54.0,62.0,55.0,,,68.0,51.0,65.0,81.0,,60.0,53.0,50.0,57.0,55.0,58.0,24.0,19.0,28.0,23.0,20.0,29.0,46.0,17.0,,,,,,18.0,20.0,20.0,6.0,24.0,39.0,30.0,22.0,,64.0,27.0,14.0,,17.0,43.0,46.0,,53.0,11.0,
2019-01-15 00:00:00,,48.0,47.0,53.0,,46.0,60.0,68.0,48.0,50.0,58.0,68.0,60.0,55.0,58.0,,45.0,34.0,49.0,58.0,58.0,,73.0,,61.0,34.0,,44.0,29.0,41.0,39.0,41.0,43.0,26.0,21.0,30.0,27.0,23.0,36.0,46.0,22.0,,,,,,19.0,22.0,27.0,6.0,24.0,31.0,30.0,25.0,,74.0,27.0,18.0,,16.0,40.0,44.0,,65.0,16.0,
2019-01-16 00:00:00,,38.0,40.0,39.0,,38.0,48.0,54.0,39.0,44.0,48.0,50.0,52.0,54.0,54.0,,41.0,39.0,43.0,48.0,59.0,,54.0,,60.0,54.0,,50.0,39.0,41.0,31.0,39.0,40.0,20.0,13.0,43.0,30.0,32.0,42.0,44.0,,,,29.0,,,18.0,23.0,21.0,7.0,20.0,27.0,35.0,29.0,,53.0,20.0,17.0,,14.0,44.0,40.0,,53.0,14.0,
2019-01-17 00:00:00,,45.0,45.0,42.0,,38.0,51.0,53.0,51.0,49.0,49.0,52.0,58.0,44.0,56.0,,47.0,44.0,45.0,,44.0,,52.0,,59.0,77.0,,53.0,48.0,41.0,47.0,48.0,50.0,25.0,22.0,32.0,22.0,19.0,28.0,44.0,18.0,,,23.0,,,14.0,17.0,19.0,7.0,17.0,34.0,33.0,25.0,,33.0,18.0,16.0,,12.0,41.0,34.0,,58.0,8.0,
2019-01-18 00:00:00,,26.0,31.0,32.0,,32.0,35.0,35.0,38.0,34.0,35.0,40.0,38.0,34.0,46.0,,27.0,27.0,33.0,36.0,22.0,,35.0,,59.0,60.0,,33.0,30.0,25.0,25.0,23.0,26.0,30.0,29.0,30.0,19.0,17.0,23.0,28.0,13.0,,,28.0,,,17.0,18.0,21.0,8.0,18.0,41.0,27.0,22.0,,15.0,21.0,16.0,,13.0,43.0,23.0,,41.0,10.0,
2019-01-19 00:00:00,,39.0,46.0,45.0,,44.0,52.0,51.0,57.0,53.0,53.0,55.0,56.0,49.0,48.0,,46.0,42.0,49.0,40.0,34.0,,46.0,,67.0,69.0,,38.0,36.0,40.0,,36.0,43.0,36.0,31.0,32.0,33.0,27.0,36.0,41.0,13.0,,,34.0,,,15.0,18.0,27.0,8.0,18.0,39.0,32.0,28.0,,37.0,19.0,24.0,,14.0,42.0,40.0,,47.0,9.0,
2019-01-20 00:00:00,,50.0,49.0,52.0,,44.0,60.0,80.0,62.0,64.0,62.0,57.0,67.0,62.0,68.0,,57.0,54.0,66.0,51.0,52.0,,68.0,,72.0,89.0,,59.0,46.0,54.0,44.0,52.0,49.0,31.0,25.0,36.0,36.0,26.0,37.0,51.0,21.0,,,45.0,,,19.0,19.0,29.0,6.0,24.0,39.0,37.0,32.0,,61.0,21.0,25.0,,16.0,41.0,48.0,,56.0,10.0,
2019-01-21 00:00:00,,57.0,66.0,60.0,,55.0,71.0,86.0,72.0,83.0,74.0,75.0,82.0,73.0,78.0,,65.0,56.0,61.0,61.0,61.0,,62.0,,75.0,86.0,,72.0,55.0,67.0,61.0,58.0,59.0,26.0,21.0,28.0,34.0,20.0,37.0,51.0,20.0,,,29.0,,,21.0,22.0,24.0,7.0,25.0,39.0,43.0,24.0,,44.0,23.0,26.0,,18.0,45.0,45.0,,68.0,12.0,
2019-01-22 00:00:00,,40.0,40.0,43.0,,39.0,52.0,59.0,52.0,50.0,50.0,52.0,57.0,47.0,73.0,,46.0,42.0,46.0,53.0,52.0,,,,65.0,67.0,,54.0,46.0,51.0,60.0,48.0,51.0,30.0,26.0,35.0,37.0,28.0,43.0,46.0,25.0,,,27.0,,,23.0,24.0,29.0,7.0,21.0,44.0,41.0,25.0,,28.0,18.0,28.0,,18.0,44.0,33.0,,70.0,15.0,
