Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,21T,24T,25T,26T,27T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,44T,46T,62T,63T,57T,58T,67T,68T,69T,70T,71T,72T,73T,75T,76T,77T,79T,80T
2018-01-23 00:00:00,49,,,66.0,55.0,,61.0,78.0,30.0,,65.0,,,,51.0,,,62.0,,,81.0,,30.0,,58.0,,,32.0,26.0,,,,33.0,,,,35.0,9.0,16.0,,,,,,,,,,19.0,55.0,46.0,66.0,11.0
2018-01-24 00:00:00,44,,,,58.0,,61.0,72.0,47.0,,60.0,,,,65.0,,,69.0,,64.0,74.0,,30.0,,52.0,,,24.0,18.0,,,,32.0,,,9.0,38.0,14.0,18.0,,,,,,,,,,20.0,48.0,49.0,79.0,9.0
2018-01-25 00:00:00,19,,,,27.0,,34.0,35.0,35.0,,31.0,,,,32.0,,,66.0,,53.0,25.0,,12.0,,35.0,,,27.0,19.0,,,,34.0,,,11.0,47.0,14.0,19.0,,,,,,,,,,22.0,52.0,52.0,73.0,9.0
2018-01-26 00:00:00,9,,,17.0,16.0,,22.0,24.0,22.0,,18.0,,,,18.0,,,60.0,,22.0,13.0,,13.0,,24.0,,,26.0,19.0,,,,53.0,,,11.0,39.0,18.0,21.0,,,,,,,,,,29.0,44.0,39.0,39.0,11.0
2018-01-27 00:00:00,8,,,17.0,12.0,,19.0,21.0,20.0,,18.0,,,,23.0,,,35.0,,17.0,12.0,,11.0,,24.0,,,30.0,26.0,,,,38.0,,,8.0,25.0,13.0,21.0,,,,,,,,,,30.0,41.0,33.0,26.0,11.0
2018-01-28 00:00:00,7,,,13.0,13.0,,19.0,23.0,18.0,,18.0,,,,17.0,,,39.0,,20.0,12.0,,10.0,,,,,29.0,24.0,,,,38.0,,,11.0,,16.0,21.0,,,,,,,,,,19.0,49.0,32.0,28.0,9.0
2018-01-29 00:00:00,7,,,19.0,14.0,,20.0,24.0,19.0,,22.0,,,,19.0,,,42.0,,22.0,14.0,,11.0,,23.0,,,32.0,25.0,,,,24.0,,,11.0,50.0,16.0,20.0,,,,,,,,,,16.0,46.0,33.0,27.0,12.0
2018-01-30 00:00:00,8,,,16.0,16.0,,21.0,24.0,19.0,,19.0,,,,21.0,,,48.0,,21.0,14.0,,10.0,,23.0,,,29.0,21.0,,,,25.0,,,11.0,25.0,19.0,19.0,,,,,,,,,,16.0,47.0,30.0,27.0,13.0
2018-01-31 00:00:00,10,,,,19.0,,21.0,24.0,22.0,,23.0,,,,22.0,,,44.0,,20.0,13.0,,10.0,,21.0,,,32.0,30.0,,,,38.0,,,7.0,33.0,18.0,18.0,,,,,,,,,,21.0,60.0,28.0,25.0,13.0
2018-02-01 00:00:00,23,,,,33.0,,35.0,43.0,30.0,,36.0,,,,36.0,,,34.0,,17.0,23.0,,16.0,,31.0,,,35.0,26.0,,,,36.0,,,7.0,39.0,14.0,19.0,,,,,,,,,,16.0,59.0,33.0,27.0,10.0
2018-02-02 00:00:00,41,,,,54.0,,51.0,60.0,47.0,,56.0,,,,51.0,,,53.0,,49.0,59.0,,18.0,,37.0,,,36.0,32.0,,,,41.0,,,10.0,47.0,17.0,19.0,,,,,,,,,,22.0,62.0,50.0,42.0,11.0
2018-02-03 00:00:00,,,,,53.0,,52.0,64.0,51.0,,61.0,,,,52.0,,,42.0,,50.0,69.0,,33.0,,45.0,,,57.0,50.0,,,,52.0,,,11.0,,17.0,21.0,,,,,,,,,,32.0,69.0,46.0,43.0,11.0
2018-02-04 00:00:00,,,,,65.0,,59.0,74.0,59.0,,71.0,,,,60.0,,,47.0,,72.0,84.0,,45.0,,56.0,,,59.0,51.0,,,,57.0,,,12.0,,19.0,22.0,,,,,,,,,,35.0,73.0,57.0,59.0,15.0
2018-02-05 00:00:00,,,,,67.0,,62.0,79.0,59.0,,75.0,,,,65.0,,,48.0,,88.0,104.0,,50.0,,61.0,,,64.0,54.0,,,,60.0,,,13.0,,20.0,22.0,,,,,,,,,,39.0,80.0,62.0,66.0,16.0
2018-02-06 00:00:00,,,,,58.0,,51.0,61.0,51.0,,66.0,,,,59.0,,,57.0,,88.0,90.0,,47.0,,54.0,,,74.0,65.0,,,,66.0,,,16.0,,23.0,25.0,,,,,,,,,,41.0,74.0,59.0,69.0,18.0
2018-02-07 00:00:00,,,,,90.0,,86.0,95.0,79.0,,96.0,,,,86.0,,,81.0,,89.0,115.0,,47.0,,73.0,,,63.0,57.0,,,,64.0,,,17.0,,23.0,30.0,,,,,,,,,,44.0,49.0,78.0,85.0,19.0
2018-02-08 00:00:00,62,,,,90.0,,76.0,80.0,81.0,,83.0,,,,82.0,,,94.0,,69.0,61.0,,49.0,,72.0,,,58.0,51.0,,,,67.0,,,23.0,76.0,29.0,33.0,,,,,,,,,,46.0,55.0,82.0,81.0,20.0
2018-02-09 00:00:00,,,,,50.0,,48.0,55.0,50.0,,49.0,,,,49.0,,,70.0,,53.0,39.0,,38.0,,58.0,,,53.0,47.0,,,,75.0,,,31.0,82.0,42.0,45.0,,,,,,,,,,51.0,53.0,82.0,60.0,34.0
2018-02-10 00:00:00,,,,,48.0,,43.0,50.0,47.0,,45.0,,,,45.0,,,65.0,,42.0,36.0,,32.0,,48.0,,,48.0,39.0,,,,59.0,,,25.0,92.0,33.0,42.0,,,,,,,,,,41.0,63.0,77.0,50.0,28.0
2018-02-11 00:00:00,,,,,48.0,,44.0,53.0,48.0,,45.0,,,,43.0,,,87.0,,55.0,38.0,,28.0,,46.0,,,47.0,42.0,,,,54.0,,,30.0,61.0,38.0,43.0,,,,,,,,,,34.0,60.0,76.0,68.0,33.0
2018-02-12 00:00:00,,,,,56.0,,55.0,64.0,52.0,,62.0,,,,57.0,,,51.0,,61.0,51.0,,28.0,,53.0,,,59.0,54.0,,,,62.0,,,19.0,26.0,27.0,31.0,,,,,,,,,,38.0,69.0,67.0,75.0,26.0
