Date,PM0.1,PM0.1-0.5,PM0.5-1.0,PM1.0-2.5,PM2.5-10,PM>10,PM1,PM2.5
2017-01-08 01:00:00,1.54,0.99,2.51,3.57,9.8,4.1,5.04,8.61
2017-01-09 01:00:00,1.54,0.99,2.51,3.57,9.8,4.1,5.04,8.61
2017-01-10 01:00:00,1.54,0.99,2.51,3.57,9.8,4.1,5.04,8.61
2017-01-11 01:00:00,1.54,0.99,2.51,3.57,9.8,4.1,5.04,8.61
2017-01-12 01:00:00,1.54,0.99,2.51,3.57,9.8,4.1,5.04,8.61
2017-01-13 01:00:00,1.54,0.99,2.51,3.57,9.8,4.1,5.04,8.61
2017-01-14 01:00:00,1.54,0.99,2.51,3.57,9.8,4.1,5.04,8.61
2017-01-15 01:00:00,0.62,1.66,2.6,1.49,6.45,1.77,4.88,6.37
2017-01-16 01:00:00,0.62,1.66,2.6,1.49,6.45,1.77,4.88,6.37
2017-01-17 01:00:00,0.62,1.66,2.6,1.49,6.45,1.77,4.88,6.37
2017-01-18 01:00:00,0.62,1.66,2.6,1.49,6.45,1.77,4.88,6.37
2017-01-19 01:00:00,0.62,1.66,2.6,1.49,6.45,1.77,4.88,6.37
2017-01-20 01:00:00,0.62,1.66,2.6,1.49,6.45,1.77,4.88,6.37
2017-01-21 01:00:00,0.62,1.66,2.6,1.49,6.45,1.77,4.88,6.37
2017-02-08 01:00:00,2.71,3.47,7.72,3.74,8.62,3.94,13.899999999999999,17.64
2017-02-09 01:00:00,2.71,3.47,7.72,3.74,8.62,3.94,13.899999999999999,17.64
2017-02-10 01:00:00,2.71,3.47,7.72,3.74,8.62,3.94,13.899999999999999,17.64
2017-02-11 01:00:00,2.71,3.47,7.72,3.74,8.62,3.94,13.899999999999999,17.64
2017-02-12 01:00:00,2.71,3.47,7.72,3.74,8.62,3.94,13.899999999999999,17.64
2017-02-13 01:00:00,2.71,3.47,7.72,3.74,8.62,3.94,13.899999999999999,17.64
2017-02-14 01:00:00,2.71,3.47,7.72,3.74,8.62,3.94,13.899999999999999,17.64
2017-02-15 01:00:00,0.93,0.66,1.62,1.42,5.33,1.26,3.21,4.63
2017-02-16 01:00:00,0.93,0.66,1.62,1.42,5.33,1.26,3.21,4.63
2017-02-17 01:00:00,0.93,0.66,1.62,1.42,5.33,1.26,3.21,4.63
2017-02-18 01:00:00,0.93,0.66,1.62,1.42,5.33,1.26,3.21,4.63
2017-02-19 01:00:00,0.93,0.66,1.62,1.42,5.33,1.26,3.21,4.63
2017-02-20 01:00:00,0.93,0.66,1.62,1.42,5.33,1.26,3.21,4.63
2017-02-21 01:00:00,0.93,0.66,1.62,1.42,5.33,1.26,3.21,4.63
2017-03-08 01:00:00,1.53,2.34,8.02,3.7,8.5,2.21,11.89,15.59
2017-03-09 01:00:00,1.53,2.34,8.02,3.7,8.5,2.21,11.89,15.59
2017-03-10 01:00:00,1.53,2.34,8.02,3.7,8.5,2.21,11.89,15.59
2017-03-11 01:00:00,1.53,2.34,8.02,3.7,8.5,2.21,11.89,15.59
2017-03-12 01:00:00,1.53,2.34,8.02,3.7,8.5,2.21,11.89,15.59
2017-03-13 01:00:00,1.53,2.34,8.02,3.7,8.5,2.21,11.89,15.59
2017-03-14 01:00:00,1.53,2.34,8.02,3.7,8.5,2.21,11.89,15.59
2017-03-15 01:00:00,1.35,2.39,7.48,16.34,5.85,2.46,11.22,27.560000000000002
2017-03-16 01:00:00,1.35,2.39,7.48,16.34,5.85,2.46,11.22,27.560000000000002
2017-03-17 01:00:00,1.35,2.39,7.48,16.34,5.85,2.46,11.22,27.560000000000002
2017-03-18 01:00:00,1.35,2.39,7.48,16.34,5.85,2.46,11.22,27.560000000000002
2017-03-19 01:00:00,1.35,2.39,7.48,16.34,5.85,2.46,11.22,27.560000000000002
2017-03-20 01:00:00,1.35,2.39,7.48,16.34,5.85,2.46,11.22,27.560000000000002
2017-03-21 01:00:00,1.35,2.39,7.48,16.34,5.85,2.46,11.22,27.560000000000002
2017-04-08 01:00:00,0.27644164316911174,2.2806435561456273,2.6953060208989594,1.0712113672803678,4.941394371648028,0.7256593133189063,5.252391220213699,6.323602587494067
2017-04-09 01:00:00,0.27644164316911174,2.2806435561456273,2.6953060208989594,1.0712113672803678,4.941394371648028,0.7256593133189063,5.252391220213699,6.323602587494067
2017-04-10 01:00:00,0.27644164316911174,2.2806435561456273,2.6953060208989594,1.0712113672803678,4.941394371648028,0.7256593133189063,5.252391220213699,6.323602587494067
2017-04-11 01:00:00,0.27644164316911174,2.2806435561456273,2.6953060208989594,1.0712113672803678,4.941394371648028,0.7256593133189063,5.252391220213699,6.323602587494067
2017-04-12 01:00:00,0.27644164316911174,2.2806435561456273,2.6953060208989594,1.0712113672803678,4.941394371648028,0.7256593133189063,5.252391220213699,6.323602587494067
2017-04-13 01:00:00,0.27644164316911174,2.2806435561456273,2.6953060208989594,1.0712113672803678,4.941394371648028,0.7256593133189063,5.252391220213699,6.323602587494067
