Date,44T
22/12/2016,23
23/12/2016,22
24/12/2016,31
25/12/2016,36
26/12/2016,39
27/12/2016,33
28/12/2016,41
29/12/2016,36
30/12/2016,30
31/12/2016,33
1/1/2017,29
2/1/2017,26
3/1/2017,22
4/1/2017,21
5/1/2017,22
6/1/2017,19
7/1/2017,18
8/1/2017,16
9/1/2017,31
10/1/2017,34
11/1/2017,31
12/1/2017,34
13/1/2017,39
14/1/2017,37
15/1/2017,38
16/1/2017,30
17/1/2017,25
18/1/2017,26
19/1/2017,36
20/1/2017,
21/1/2017,27
22/1/2017,40
23/1/2017,41
24/1/2017,37
25/1/2017,32
26/1/2017,31
27/1/2017,
28/1/2017,
29/1/2017,39
30/1/2017,49
31/1/2017,33
1/2/2017,41
2/2/2017,47
3/2/2017,42
4/2/2017,28
5/2/2017,26
6/2/2017,41
7/2/2017,42
8/2/2017,49
9/2/2017,43
10/2/2017,38
11/2/2017,41
12/2/2017,49
13/2/2017,47
14/2/2017,45
15/2/2017,40
16/2/2017,42
17/2/2017,39
18/2/2017,31
19/2/2017,33
20/2/2017,36
21/2/2017,35
22/2/2017,27
23/2/2017,24
24/2/2017,27
25/2/2017,24
26/2/2017,29
27/2/2017,30
28/2/2017,34
1/3/2017,37
2/3/2017,37
3/3/2017,39
4/3/2017,42
5/3/2017,40
6/3/2017,43
7/3/2017,44
8/3/2017,39
9/3/2017,31
10/3/2017,32
11/3/2017,32
12/3/2017,41
13/3/2017,39
14/3/2017,42
15/3/2017,37
16/3/2017,
17/3/2017,
18/3/2017,
19/3/2017,
20/3/2017,
21/3/2017,31
22/3/2017,34
23/3/2017,39
24/3/2017,35
25/3/2017,33
26/3/2017,32
27/3/2017,29
28/3/2017,35
29/3/2017,28
30/3/2017,36
31/3/2017,33
1/4/2017,32
2/4/2017,33
3/4/2017,26
4/4/2017,26
5/4/2017,34
6/4/2017,36
7/4/2017,27
8/4/2017,33
9/4/2017,
10/4/2017,
11/4/2017,39
12/4/2017,43
13/4/2017,42
14/4/2017,31
15/4/2017,29
16/4/2017,33
17/4/2017,38
18/4/2017,48
19/4/2017,42
20/4/2017,40
21/4/2017,37
22/4/2017,42
23/4/2017,50
24/4/2017,48
25/4/2017,55
26/4/2017,43
27/4/2017,43
28/4/2017,49
29/4/2017,44
30/4/2017,38
1/5/2017,42
2/5/2017,45
3/5/2017,43
4/5/2017,44
5/5/2017,37
6/5/2017,39
7/5/2017,44
8/5/2017,37
9/5/2017,39
10/5/2017,49
11/5/2017,39
12/5/2017,36
13/5/2017,40
14/5/2017,34
15/5/2017,50
16/5/2017,41
17/5/2017,51
18/5/2017,50
19/5/2017,37
20/5/2017,43
21/5/2017,40
22/5/2017,34
23/5/2017,31
24/5/2017,39
25/5/2017,34
26/5/2017,45
27/5/2017,44
28/5/2017,42
29/5/2017,45
30/5/2017,49
31/5/2017,41
1/6/2017,52
2/6/2017,43
3/6/2017,49
4/6/2017,44
5/6/2017,46
6/6/2017,37
7/6/2017,41
8/6/2017,42
9/6/2017,53
10/6/2017,
11/6/2017,56
12/6/2017,52
13/6/2017,50
14/6/2017,59
15/6/2017,38
16/6/2017,41
17/6/2017,49
18/6/2017,36
19/6/2017,51
20/6/2017,55
21/6/2017,49
22/6/2017,54
23/6/2017,42
24/6/2017,32
25/6/2017,38
26/6/2017,36
27/6/2017,41
28/6/2017,30
29/6/2017,38
30/6/2017,37
1/7/2017,36
2/7/2017,32
3/7/2017,39
4/7/2017,38
5/7/2017,54
6/7/2017,43
7/7/2017,42
8/7/2017,48
9/7/2017,43
10/7/2017,37
11/7/2017,45
12/7/2017,51
13/7/2017,45
14/7/2017,43
15/7/2017,48
16/7/2017,56
17/7/2017,65
18/7/2017,65
19/7/2017,73
20/7/2017,72
21/7/2017,64
22/7/2017,70
23/7/2017,66
24/7/2017,64
25/7/2017,63
26/7/2017,58
27/7/2017,68
28/7/2017,44
29/7/2017,39
30/7/2017,41
31/7/2017,28
1/8/2017,26
2/8/2017,31
3/8/2017,40
4/8/2017,26
5/8/2017,27
6/8/2017,36
7/8/2017,37
8/8/2017,33
9/8/2017,30
10/8/2017,36
11/8/2017,32
12/8/2017,31
13/8/2017,31
14/8/2017,29
15/8/2017,24
16/8/2017,35
17/8/2017,30
18/8/2017,39
19/8/2017,36
20/8/2017,40
21/8/2017,52
22/8/2017,44
23/8/2017,41
24/8/2017,52
25/8/2017,47
26/8/2017,38
27/8/2017,41
28/8/2017,29
29/8/2017,41
30/8/2017,35
31/8/2017,39
1/9/2017,39
2/9/2017,33
3/9/2017,34
4/9/2017,32
5/9/2017,28
6/9/2017,32
7/9/2017,44
8/9/2017,34
9/9/2017,49
10/9/2017,33
11/9/2017,29
12/9/2017,32
13/9/2017,34
14/9/2017,36
15/9/2017,29
16/9/2017,27
17/9/2017,32
18/9/2017,40
19/9/2017,34
20/9/2017,36
21/9/2017,26
22/9/2017,34
23/9/2017,39
24/9/2017,28
25/9/2017,32
26/9/2017,31
27/9/2017,36
28/9/2017,39
29/9/2017,31
30/9/2017,24
1/10/2017,35
2/10/2017,31
3/10/2017,45
4/10/2017,36
5/10/2017,32
6/10/2017,33
7/10/2017,35
8/10/2017,30
9/10/2017,32
10/10/2017,23
11/10/2017,27
12/10/2017,29
13/10/2017,33
14/10/2017,30
15/10/2017,39
16/10/2017,43
17/10/2017,38
18/10/2017,47
19/10/2017,42
20/10/2017,43
21/10/2017,49
22/10/2017,46
23/10/2017,47
24/10/2017,44
25/10/2017,31
26/10/2017,28
27/10/2017,29
28/10/2017,29
29/10/2017,30
30/10/2017,35
31/10/2017,52
1/11/2017,41
2/11/2017,23
3/11/2017,24
4/11/2017,22
5/11/2017,30
6/11/2017,28
7/11/2017,36
8/11/2017,27
9/11/2017,30
10/11/2017,25
11/11/2017,24
12/11/2017,25
13/11/2017,40
14/11/2017,35
15/11/2017,30
16/11/2017,32
17/11/2017,26
18/11/2017,34
19/11/2017,40
20/11/2017,43
21/11/2017,55
22/11/2017,36
23/11/2017,25
24/11/2017,29
25/11/2017,28
26/11/2017,23
27/11/2017,30
28/11/2017,26
29/11/2017,22
30/11/2017,
1/12/2017,26
2/12/2017,30
3/12/2017,24
4/12/2017,
5/12/2017,
6/12/2017,
7/12/2017,
8/12/2017,35
9/12/2017,34
10/12/2017,47
11/12/2017,55
12/12/2017,57
13/12/2017,
14/12/2017,
15/12/2017,60
16/12/2017,44
17/12/2017,
18/12/2017,44
19/12/2017,
20/12/2017,
21/12/2017,37
22/12/2017,37
23/12/2017,22
24/12/2017,19
25/12/2017,30
26/12/2017,25
27/12/2017,17
28/12/2017,20
29/12/2017,20
30/12/2017,22
31/12/2017,25
1/1/2018,27
2/1/2018,30
3/1/2018,31
4/1/2018,25
5/1/2018,34
6/1/2018,23
7/1/2018,19
8/1/2018,20
9/1/2018,19
10/1/2018,20
11/1/2018,18
12/1/2018,28
13/1/2018,34
14/1/2018,26
15/1/2018,31
16/1/2018,27
17/1/2018,27
18/1/2018,36
19/1/2018,28
20/1/2018,
21/1/2018,15
22/1/2018,14
23/1/2018,8
24/1/2018,17
25/1/2018,19
26/1/2018,18
27/1/2018,14
28/1/2018,21
29/1/2018,20
30/1/2018,19
31/1/2018,14
1/2/2018,17
2/2/2018,25
3/2/2018,29
4/2/2018,32
5/2/2018,31
6/2/2018,34
7/2/2018,36
8/2/2018,41
9/2/2018,47
10/2/2018,43
11/2/2018,44
12/2/2018,38
13/2/2018,32
14/2/2018,32
15/2/2018,35
16/2/2018,39
17/2/2018,41
18/2/2018,40
19/2/2018,25
20/2/2018,15
21/2/2018,14
22/2/2018,13
23/2/2018,11
24/2/2018,18
25/2/2018,21
26/2/2018,22
27/2/2018,21
28/2/2018,21
1/3/2018,20
2/3/2018,17
3/3/2018,13
4/3/2018,14
5/3/2018,16
6/3/2018,13
7/3/2018,16
8/3/2018,20
9/3/2018,35
10/3/2018,31
11/3/2018,36
12/3/2018,36
13/3/2018,34
14/3/2018,34
15/3/2018,27
16/3/2018,31
17/3/2018,19
18/3/2018,18
19/3/2018,
20/3/2018,
21/3/2018,30
22/3/2018,29
23/3/2018,23
24/3/2018,33
25/3/2018,39
26/3/2018,37
27/3/2018,38
28/3/2018,40
29/3/2018,45
30/3/2018,50
31/3/2018,53
1/4/2018,53
2/4/2018,47
3/4/2018,41
4/4/2018,41
5/4/2018,35
6/4/2018,38
7/4/2018,30
8/4/2018,30
9/4/2018,32
10/4/2018,24
11/4/2018,23
12/4/2018,26
13/4/2018,23
14/4/2018,17
15/4/2018,28
16/4/2018,19
17/4/2018,20
18/4/2018,24
19/4/2018,26
20/4/2018,26
21/4/2018,25
22/4/2018,28
23/4/2018,29
24/4/2018,37
